Year Month Day T95(degC)
1983  2 21 13.699794
1983  2 22 13.372193
1983  2 23 11.510151
1983  2 24 6.440386
1983  2 25 3.928738
1983  2 26 6.322486
1983  2 27 8.874227
1983  2 28 9.583039
1983  3  1 10.751152
1983  3  2 15.067182
1983  3  3 17.300914
1983  3  4 17.461230
1983  3  5 17.081350
1983  3  6 15.437537
1983  3  7 14.852739
1983  3  8 13.382279
1983  3  9 6.329527
1983  3 10 1.776061
1983  3 11 4.170670
1983  3 12 8.543057
1983  3 13 8.652890
1983  3 14 8.628416
1983  3 15 9.341026
1983  3 16 8.544337
1983  3 17 7.362263
1983  3 18 5.622752
1983  3 19 4.979206
1983  3 20 4.432683
1983  3 21 4.500879
1983  3 22 1.216852
1983  3 23 -3.375518
1983  3 24 -3.112118
1983  3 25 -1.106718
1983  3 26 -0.341319
1983  3 27 1.819671
1983  3 28 1.704546
1983  3 29 -0.386492
1983  3 30 0.989980
1983  3 31 4.518048
1983  4  1 3.278732
1983  4  2 2.317492
1983  4  3 1.328508
1983  4  4 1.285525
1983  4  5 1.972215
1983  4  6 3.357361
1983  4  7 4.143817
1983  4  8 3.401311
1983  4  9 3.032435
1983  4 10 2.958869
1983  4 11 3.569077
1983  4 12 4.232814
1983  4 13 4.371636
1983  4 14 4.205799
1983  4 15 1.173210
1983  4 16 -1.342581
1983  4 17 1.242096
1983  4 18 1.748663
1983  4 19 1.306905
1983  4 20 3.183321
1983  4 21 4.174402
1983  4 22 3.598850
1983  4 23 3.548824
1983  4 24 5.420098
1983  4 25 7.954030
1983  4 26 8.561075
1983  4 27 8.383858
1983  4 28 8.882995
1983  4 29 8.445132
1983  4 30 5.705147
1983  5  1 5.181733
1983  5  2 5.186247
1983  5  3 5.345809
1983  5  4 4.118287
1983  5  5 4.718446
1983  5  6 5.576757
1983  5  7 6.256790
1983  5  8 5.502009
1983  5  9 4.478723
1983  5 10 4.571383
1983  5 11 5.155412
1983  5 12 5.764910
1983  5 13 4.758292
1983  5 14 5.087043
1983  5 15 4.583680
1983  5 16 1.251095
1983  5 17 0.275597
1983  5 18 1.495911
1983  5 19 1.034576
1983  5 20 1.400980
1983  5 21 2.940309
1983  5 22 2.865159
1983  5 23 3.153220
1983  5 24 4.391374
1983  5 25 3.925934
1983  5 26 3.490365
1983  5 27 6.832865
1983  5 28 5.994896
1983  5 29 3.121101
1983  5 30 1.106196
1983  5 31 0.888912
1983  6  1 0.410430
1983  6  2 0.818567
1983  6  3 1.995163
1983  6  4 2.298097
1983  6  5 1.838608
1983  6  6 2.277513
1983  6  7 2.667127
1983  6  8 2.966619
1983  6  9 3.596070
1983  6 10 5.515928
1983  6 11 6.560313
1983  6 12 6.540530
1983  6 13 7.321864
1983  6 14 7.408897
1983  6 15 7.214879
1983  6 16 6.638401
1983  6 17 5.224188
1983  6 18 3.874205
1983  6 19 3.808048
1983  6 20 4.710446
1983  6 21 6.106757
1983  6 22 7.140631
1983  6 23 7.043526
1983  6 24 6.669445
1983  6 25 6.666504
1983  6 26 7.280339
1983  6 27 6.616106
1983  6 28 4.581215
1983  6 29 1.879192
1983  6 30 3.932956
1983  7  1 4.852249
1983  7  2 5.158160
1983  7  3 5.878157
1983  7  4 6.241143
1983  7  5 5.371706
1983  7  6 3.307056
1983  7  7 4.981644
1983  7  8 6.010226
1983  7  9 6.450781
1983  7 10 7.017510
1983  7 11 6.596565
1983  7 12 5.661678
1983  7 13 6.982895
1983  7 14 8.735640
1983  7 15 8.587543
1983  7 16 7.127919
1983  7 17 6.111227
1983  7 18 5.775968
1983  7 19 6.898081
1983  7 20 7.494897
1983  7 21 7.831360
1983  7 22 7.995177
1983  7 23 7.660470
1983  7 24 6.210812
1983  7 25 4.535971
1983  7 26 4.016202
1983  7 27 5.884848
1983  7 28 7.008391
1983  7 29 6.771975
1983  7 30 5.574275
1983  7 31 5.114489
1983  8  1 5.105001
1983  8  2 6.564331
1983  8  3 7.412877
1983  8  4 7.352786
1983  8  5 7.092763
1983  8  6 7.025107
1983  8  7 9.310032
1983  8  8 8.158038
1983  8  9 5.866853
1983  8 10 6.417419
1983  8 11 5.941958
1983  8 12 5.153450
1983  8 13 4.929941
1983  8 14 4.551934
1983  8 15 6.748250
1983  8 16 9.370216
1983  8 17 9.665935
1983  8 18 9.550674
1983  8 19 9.177222
1983  8 20 9.235020
1983  8 21 9.177861
1983  8 22 8.950785
1983  8 23 8.443378
1983  8 24 7.197949
1983  8 25 8.100900
1983  8 26 8.860271
1983  8 27 8.477734
1983  8 28 8.595084
1983  8 29 8.616857
1983  8 30 7.544553
1983  8 31 6.624117
1983  9  1 8.899213
1983  9  2 11.093875
1983  9  3 10.211280
1983  9  4 7.910752
1983  9  5 7.639896
1983  9  6 8.356695
1983  9  7 8.301690
1983  9  8 9.355629
1983  9  9 9.760944
1983  9 10 10.001699
1983  9 11 10.037921
1983  9 12 9.051803
1983  9 13 5.325611
1983  9 14 1.242041
1983  9 15 1.111405
1983  9 16 2.714364
1983  9 17 8.249802
1983  9 18 8.468358
1983  9 19 8.734714
1983  9 20 9.397255
1983  9 21 8.213786
1983  9 22 3.038962
1983  9 23 -1.407259
1983  9 24 4.677110
1983  9 25 7.328350
1983  9 26 9.163851
1983  9 27 10.660678
1983  9 28 9.766581
1983  9 29 7.583941
1983  9 30 7.486223
1983 10  1 8.062168
1983 10  2 8.924215
1983 10  3 8.894202
1983 10  4 8.056513
1983 10  5 6.533611
1983 10  6 5.024307
1983 10  7 4.816415
1983 10  8 4.936410
1983 10  9 4.501250
1983 10 10 3.936996
1983 10 11 5.255503
1983 10 12 4.909279
1983 10 13 6.505750
1983 10 14 6.895132
1983 10 15 4.255754
1983 10 16 4.611607
1983 10 17 4.749335
1983 10 18 4.322258
1983 10 19 4.176570
1983 10 20 4.742710
1983 10 21 4.639819
1983 10 22 4.227267
1983 10 23 4.944450
1983 10 24 4.207671
1983 10 25 5.138395
1983 10 26 7.835402
1983 10 27 14.596437
1983 10 28 14.414195
1983 10 29 7.947428
1983 10 30 6.614942
1983 10 31 7.756039
1983 11  1 9.306367
1983 11  2 9.127732
1983 11  3 8.161644
1983 11  4 6.725030
1983 11  5 6.083015
1983 11  6 6.557781
1983 11  7 8.143648
1983 11  8 7.668213
1983 11  9 8.067658
1983 11 10 7.995597
1983 11 11 3.782029
1983 11 12 1.381157
1983 11 13 3.593820
1983 11 14 5.113315
1983 11 15 4.140896
1983 11 16 3.354336
1983 11 17 6.904788
1983 11 18 8.214765
1983 11 19 9.064416
1983 11 20 9.461622
1983 11 21 8.414896
1983 11 22 9.775650
1983 11 23 10.060476
1983 11 24 9.400645
1983 11 25 5.556696
1983 11 26 6.096802
1983 11 27 6.173583
1983 11 28 6.512460
1983 11 29 6.068941
1983 11 30 1.171307
1983 12  1 1.326715
1983 12  2 4.359491
1983 12  3 6.806635
1983 12  4 6.497305
1983 12  5 6.721490
1983 12  6 7.615466
1983 12  7 6.659059
1983 12  8 2.046061
1983 12  9 4.027381
1983 12 10 5.796144
1983 12 11 6.336011
1983 12 12 6.136010
1983 12 13 4.695904
1983 12 14 5.385787
1983 12 15 6.498264
1983 12 16 5.524051
1983 12 17 2.220928
1983 12 18 1.150012
1983 12 19 -0.389036
1983 12 20 -3.721156
1983 12 21 0.625181
1983 12 22 3.696221
1983 12 23 1.669702
1983 12 24 -4.691154
1983 12 25 -8.208210
1983 12 26 -4.171952
1983 12 27 -2.508665
1983 12 28 3.530986
1983 12 29 4.697991
1983 12 30 1.069878
1983 12 31 1.825146
1984  1  1 3.716729
1984  1  2 5.045091
1984  1  3 10.607849
1984  1  4 9.614733
1984  1  5 12.049084
1984  1  6 11.052196
1984  1  7 9.606428
1984  1  8 9.840598
1984  1  9 9.320391
1984  1 10 8.307312
1984  1 11 3.015871
1984  1 12 -1.139850
1984  1 13 -0.285194
1984  1 14 0.258879
1984  1 15 0.019017
1984  1 16 -2.214397
1984  1 17 -1.479870
1984  1 18 0.069749
1984  1 19 -1.020923
1984  1 20 -5.011943
1984  1 21 -3.019440
1984  1 22 0.924527
1984  1 23 4.937719
1984  1 24 8.832676
1984  1 25 8.812747
1984  1 26 8.621656
1984  1 27 9.062156
1984  1 28 9.013187
1984  1 29 9.212169
1984  1 30 7.391279
1984  1 31 8.294753
1984  2  1 11.711983
1984  2  2 10.221610
1984  2  3 8.769936
1984  2  4 7.969996
1984  2  5 5.846728
1984  2  6 6.058741
1984  2  7 7.041861
1984  2  8 7.595692
1984  2  9 9.640302
1984  2 10 11.267749
1984  2 11 11.939166
1984  2 12 14.298688
1984  2 13 13.823179
1984  2 14 12.725901
1984  2 15 12.999140
1984  2 16 12.398112
1984  2 17 11.105661
1984  2 18 10.107865
1984  2 19 10.508815
1984  2 20 10.350627
1984  2 21 10.559840
1984  2 22 13.794983
1984  2 23 14.440283
1984  2 24 13.713654
1984  2 25 10.616604
1984  2 26 5.663733
1984  2 27 3.182481
1984  2 28 2.071442
1984  2 29 1.119875
1984  3  1 4.045140
1984  3  2 3.253668
1984  3  3 3.368531
1984  3  4 4.016421
1984  3  5 4.045812
1984  3  6 2.314884
1984  3  7 0.852842
1984  3  8 0.634259
1984  3  9 0.458741
1984  3 10 -1.028933
1984  3 11 -0.220806
1984  3 12 0.393176
1984  3 13 4.327371
1984  3 14 7.258484
1984  3 15 10.029393
1984  3 16 10.195130
1984  3 17 7.531443
1984  3 18 6.445242
1984  3 19 7.414362
1984  3 20 7.891043
1984  3 21 5.036824
1984  3 22 2.511598
1984  3 23 4.471919
1984  3 24 5.703267
1984  3 25 5.449152
1984  3 26 3.637671
1984  3 27 3.310942
1984  3 28 4.094773
1984  3 29 2.955935
1984  3 30 -0.467019
1984  3 31 1.217022
1984  4  1 2.651739
1984  4  2 3.918502
1984  4  3 4.326117
1984  4  4 4.762908
1984  4  5 5.588028
1984  4  6 5.851833
1984  4  7 5.256944
1984  4  8 3.924650
1984  4  9 3.229760
1984  4 10 3.437598
1984  4 11 3.785482
1984  4 12 5.334062
1984  4 13 4.951705
1984  4 14 4.663429
1984  4 15 4.143480
1984  4 16 3.586918
1984  4 17 3.515727
1984  4 18 3.721017
1984  4 19 4.216651
1984  4 20 4.678261
1984  4 21 4.969527
1984  4 22 4.817268
1984  4 23 6.093065
1984  4 24 6.636843
1984  4 25 6.851620
1984  4 26 9.359418
1984  4 27 10.064904
1984  4 28 8.766657
1984  4 29 7.404406
1984  4 30 8.025968
1984  5  1 5.685522
1984  5  2 1.510229
1984  5  3 1.628932
1984  5  4 2.134761
1984  5  5 2.341727
1984  5  6 4.138532
1984  5  7 4.734306
1984  5  8 4.645769
1984  5  9 2.484519
1984  5 10 4.604500
1984  5 11 4.814071
1984  5 12 5.124719
1984  5 13 6.023041
1984  5 14 4.550392
1984  5 15 4.237339
1984  5 16 6.392483
1984  5 17 7.357946
1984  5 18 7.041073
1984  5 19 6.773885
1984  5 20 6.394385
1984  5 21 6.016645
1984  5 22 6.514436
1984  5 23 6.761588
1984  5 24 6.239768
1984  5 25 4.687245
1984  5 26 5.194891
1984  5 27 4.404384
1984  5 28 2.357970
1984  5 29 1.281443
1984  5 30 3.126424
1984  5 31 8.241692
1984  6  1 7.260494
1984  6  2 4.234091
1984  6  3 4.952182
1984  6  4 4.992675
1984  6  5 5.674505
1984  6  6 6.361736
1984  6  7 7.197993
1984  6  8 7.959118
1984  6  9 8.509940
1984  6 10 8.329186
1984  6 11 7.703855
1984  6 12 6.851828
1984  6 13 7.038681
1984  6 14 6.734101
1984  6 15 4.667022
1984  6 16 4.419381
1984  6 17 4.893285
1984  6 18 5.417531
1984  6 19 5.348636
1984  6 20 5.367436
1984  6 21 4.783559
1984  6 22 4.801168
1984  6 23 4.364080
1984  6 24 3.180203
1984  6 25 3.560518
1984  6 26 4.659815
1984  6 27 3.598031
1984  6 28 2.814638
1984  6 29 2.586926
1984  6 30 2.343354
1984  7  1 2.293027
1984  7  2 4.077302
1984  7  3 4.550822
1984  7  4 3.739411
1984  7  5 2.518955
1984  7  6 2.489693
1984  7  7 2.422466
1984  7  8 4.670445
1984  7  9 5.839311
1984  7 10 5.248066
1984  7 11 4.392671
1984  7 12 4.736560
1984  7 13 5.626956
1984  7 14 5.398117
1984  7 15 4.782014
1984  7 16 3.437958
1984  7 17 1.766198
1984  7 18 2.064566
1984  7 19 3.757904
1984  7 20 3.478030
1984  7 21 4.674508
1984  7 22 5.996830
1984  7 23 5.587204
1984  7 24 4.207564
1984  7 25 2.344478
1984  7 26 2.134429
1984  7 27 1.744481
1984  7 28 2.061151
1984  7 29 3.109368
1984  7 30 3.674835
1984  7 31 3.627065
1984  8  1 3.256510
1984  8  2 3.425013
1984  8  3 3.792095
1984  8  4 4.058139
1984  8  5 4.770644
1984  8  6 6.748661
1984  8  7 6.808574
1984  8  8 5.580495
1984  8  9 4.740341
1984  8 10 4.140012
1984  8 11 3.682481
1984  8 12 5.444334
1984  8 13 6.504461
1984  8 14 6.909263
1984  8 15 5.385064
1984  8 16 5.635763
1984  8 17 5.821342
1984  8 18 5.636976
1984  8 19 3.967671
1984  8 20 3.695655
1984  8 21 2.677144
1984  8 22 3.089388
1984  8 23 2.746560
1984  8 24 1.794934
1984  8 25 3.925448
1984  8 26 7.122879
1984  8 27 9.552460
1984  8 28 10.836773
1984  8 29 11.205713
1984  8 30 9.063299
1984  8 31 7.508854
1984  9  1 8.701301
1984  9  2 7.528269
1984  9  3 5.896546
1984  9  4 3.375595
1984  9  5 2.116073
1984  9  6 7.239743
1984  9  7 7.308908
1984  9  8 5.391273
1984  9  9 2.940761
1984  9 10 5.384112
1984  9 11 5.537861
1984  9 12 7.785780
1984  9 13 8.004488
1984  9 14 6.658456
1984  9 15 5.577604
1984  9 16 2.867694
1984  9 17 4.889515
1984  9 18 9.675897
1984  9 19 12.090795
1984  9 20 10.766538
1984  9 21 7.860480
1984  9 22 7.925703
1984  9 23 7.278101
1984  9 24 8.174638
1984  9 25 7.728145
1984  9 26 6.743807
1984  9 27 4.619991
1984  9 28 0.597507
1984  9 29 -0.895591
1984  9 30 -0.070436
1984 10  1 2.373272
1984 10  2 5.593899
1984 10  3 5.862946
1984 10  4 6.431352
1984 10  5 5.902712
1984 10  6 5.135592
1984 10  7 4.286550
1984 10  8 4.280311
1984 10  9 4.872016
1984 10 10 5.197026
1984 10 11 6.547487
1984 10 12 9.172287
1984 10 13 9.489645
1984 10 14 7.959675
1984 10 15 6.919000
1984 10 16 7.619498
1984 10 17 7.715236
1984 10 18 7.125939
1984 10 19 8.167352
1984 10 20 8.850509
1984 10 21 8.399743
1984 10 22 8.096177
1984 10 23 7.073604
1984 10 24 6.293011
1984 10 25 6.449381
1984 10 26 8.353441
1984 10 27 10.517639
1984 10 28 11.450575
1984 10 29 10.185181
1984 10 30 8.323700
1984 10 31 9.181566
1984 11  1 9.729092
1984 11  2 7.114792
1984 11  3 7.010542
1984 11  4 5.821401
1984 11  5 5.140377
1984 11  6 5.204924
1984 11  7 7.517885
1984 11  8 8.366865
1984 11  9 9.148734
1984 11 10 7.277956
1984 11 11 5.957102
1984 11 12 6.665847
1984 11 13 7.466093
1984 11 14 9.321238
1984 11 15 7.506448
1984 11 16 5.192992
1984 11 17 3.528435
1984 11 18 4.484006
1984 11 19 5.831726
1984 11 20 2.351808
1984 11 21 3.633434
1984 11 22 4.691575
1984 11 23 8.337527
1984 11 24 12.112775
1984 11 25 12.218009
1984 11 26 11.817775
1984 11 27 11.792631
1984 11 28 11.412747
1984 11 29 9.573878
1984 11 30 5.459890
1984 12  1 5.462167
1984 12  2 5.730822
1984 12  3 4.895669
1984 12  4 2.514574
1984 12  5 -1.200061
1984 12  6 0.613668
1984 12  7 12.872726
1984 12  8 13.273401
1984 12  9 12.107611
1984 12 10 10.516032
1984 12 11 10.128127
1984 12 12 10.563482
1984 12 13 11.358288
1984 12 14 12.934342
1984 12 15 13.797954
1984 12 16 14.366685
1984 12 17 14.400825
1984 12 18 13.811105
1984 12 19 12.056308
1984 12 20 10.516136
1984 12 21 10.511184
1984 12 22 10.908310
1984 12 23 8.038545
1984 12 24 9.214713
1984 12 25 10.016100
1984 12 26 7.858473
1984 12 27 12.188302
1984 12 28 17.788642
1984 12 29 18.710281
1984 12 30 16.583811
1984 12 31 13.296163
1985  1  1 14.560941
1985  1  2 13.484802
1985  1  3 6.861824
1985  1  4 8.062193
1985  1  5 9.489356
1985  1  6 9.090717
1985  1  7 6.901498
1985  1  8 4.342964
1985  1  9 0.794019
1985  1 10 1.857617
1985  1 11 1.899865
1985  1 12 2.138638
1985  1 13 7.641780
1985  1 14 7.396270
1985  1 15 1.808325
1985  1 16 1.891689
1985  1 17 4.705523
1985  1 18 5.222514
1985  1 19 3.600935
1985  1 20 2.637102
1985  1 21 0.515940
1985  1 22 1.920903
1985  1 23 2.341433
1985  1 24 4.486055
1985  1 25 4.325024
1985  1 26 4.033012
1985  1 27 3.548299
1985  1 28 0.733315
1985  1 29 1.026631
1985  1 30 1.149979
1985  1 31 5.573915
1985  2  1 7.544397
1985  2  2 4.514663
1985  2  3 0.542955
1985  2  4 -3.229972
1985  2  5 -2.085131
1985  2  6 -1.234994
1985  2  7 -2.708896
1985  2  8 -3.645410
1985  2  9 -0.119964
1985  2 10 3.028827
1985  2 11 4.201784
1985  2 12 5.162015
1985  2 13 5.338125
1985  2 14 2.862352
1985  2 15 4.207193
1985  2 16 5.610377
1985  2 17 5.681068
1985  2 18 5.218063
1985  2 19 6.906792
1985  2 20 9.570480
1985  2 21 8.989821
1985  2 22 9.245077
1985  2 23 12.593913
1985  2 24 14.896211
1985  2 25 13.420710
1985  2 26 7.980426
1985  2 27 6.820366
1985  2 28 10.920614
1985  3  1 10.284272
1985  3  2 8.324144
1985  3  3 7.228702
1985  3  4 9.393215
1985  3  5 9.897418
1985  3  6 6.311752
1985  3  7 6.951803
1985  3  8 8.004068
1985  3  9 8.716899
1985  3 10 10.118342
1985  3 11 10.324009
1985  3 12 9.000197
1985  3 13 7.194173
1985  3 14 7.466123
1985  3 15 7.820785
1985  3 16 6.237752
1985  3 17 7.903554
1985  3 18 10.891108
1985  3 19 10.104653
1985  3 20 8.679831
1985  3 21 9.516795
1985  3 22 9.355504
1985  3 23 6.814148
1985  3 24 4.383750
1985  3 25 7.001421
1985  3 26 11.176773
1985  3 27 11.398629
1985  3 28 12.272618
1985  3 29 12.641406
1985  3 30 11.352551
1985  3 31 8.808393
1985  4  1 4.869105
1985  4  2 8.940418
1985  4  3 9.519922
1985  4  4 8.965376
1985  4  5 10.884620
1985  4  6 9.960665
1985  4  7 2.958000
1985  4  8 2.519512
1985  4  9 2.853282
1985  4 10 8.477823
1985  4 11 11.100288
1985  4 12 11.885885
1985  4 13 9.463616
1985  4 14 10.026204
1985  4 15 12.939091
1985  4 16 12.294074
1985  4 17 14.665790
1985  4 18 16.372892
1985  4 19 15.578741
1985  4 20 14.490624
1985  4 21 13.935317
1985  4 22 14.375886
1985  4 23 13.805478
1985  4 24 11.300532
1985  4 25 6.812018
1985  4 26 8.473471
1985  4 27 8.628234
1985  4 28 8.470106
1985  4 29 12.449738
1985  4 30 10.776505
1985  5  1 9.052339
1985  5  2 8.676508
1985  5  3 9.538701
1985  5  4 11.469661
1985  5  5 9.155312
1985  5  6 6.537382
1985  5  7 5.603636
1985  5  8 9.734936
1985  5  9 12.471662
1985  5 10 11.348981
1985  5 11 10.105140
1985  5 12 9.084113
1985  5 13 8.314788
1985  5 14 8.268990
1985  5 15 7.624242
1985  5 16 4.288054
1985  5 17 3.628014
1985  5 18 5.275709
1985  5 19 6.001609
1985  5 20 6.085092
1985  5 21 5.517574
1985  5 22 5.480728
1985  5 23 5.771310
1985  5 24 6.735259
1985  5 25 8.105507
1985  5 26 8.179954
1985  5 27 6.872880
1985  5 28 4.651913
1985  5 29 4.276243
1985  5 30 5.053617
1985  5 31 5.610140
1985  6  1 6.090720
1985  6  2 6.605397
1985  6  3 6.363261
1985  6  4 6.786982
1985  6  5 7.121107
1985  6  6 7.080704
1985  6  7 7.818009
1985  6  8 10.722629
1985  6  9 10.335159
1985  6 10 5.358585
1985  6 11 4.358465
1985  6 12 1.818938
1985  6 13 0.380457
1985  6 14 1.621703
1985  6 15 2.803237
1985  6 16 4.759858
1985  6 17 4.383217
1985  6 18 2.901843
1985  6 19 0.625475
1985  6 20 4.560351
1985  6 21 5.426034
1985  6 22 3.709833
1985  6 23 5.046804
1985  6 24 5.709347
1985  6 25 5.395383
1985  6 26 4.854304
1985  6 27 4.181210
1985  6 28 2.502954
1985  6 29 1.203598
1985  6 30 2.029565
1985  7  1 2.881270
1985  7  2 3.191834
1985  7  3 5.545102
1985  7  4 5.118456
1985  7  5 4.206857
1985  7  6 5.746718
1985  7  7 8.727628
1985  7  8 8.233225
1985  7  9 6.559289
1985  7 10 5.478753
1985  7 11 6.087407
1985  7 12 7.209140
1985  7 13 6.469936
1985  7 14 5.057395
1985  7 15 4.315870
1985  7 16 3.436693
1985  7 17 4.329559
1985  7 18 3.807215
1985  7 19 3.510447
1985  7 20 3.924450
1985  7 21 3.581281
1985  7 22 3.097636
1985  7 23 3.280162
1985  7 24 2.531053
1985  7 25 3.011290
1985  7 26 2.987889
1985  7 27 2.502977
1985  7 28 2.209756
1985  7 29 2.511776
1985  7 30 2.986982
1985  7 31 3.014304
1985  8  1 2.560289
1985  8  2 2.564536
1985  8  3 1.483094
1985  8  4 2.089429
